x,y,b,r
1141.0,942.0,235.56,2.8284271247461903
441.0,872.0,213.64,2.8284271247461903
1842.0,475.0,210.36,2.8284271247461903
1749.0,173.0,198.56,2.8284271247461903
192.0,975.0,209.64,2.8284271247461903
1422.0,1003.0,194.76,2.8284271247461903
1315.0,911.0,217.48,2.8284271247461903
518.0,20.0,249.6,2.8284271247461903
1378.0,344.0,204.8,2.8284271247461903
1146.0,889.0,192.08,2.8284271247461903
1102.0,185.0,247.76,2.8284271247461903
74.0,895.0,202.84,2.8284271247461903
135.0,573.0,194.28,2.8284271247461903
344.0,979.0,202.64,2.8284271247461903
527.0,461.0,237.04,2.8284271247461903
711.0,997.0,183.6,2.8284271247461903
1813.0,1056.0,182.8,2.8284271247461903
1795.0,1035.0,252.92,2.8284271247461903
392.0,84.0,253.8,2.8284271247461903
275.0,163.0,197.12,2.8284271247461903
298.0,266.0,172.44,2.8284271247461903
323.0,63.0,164.08,2.8284271247461903
1456.0,1183.0,254.56,2.8284271247461903
1461.0,580.0,163.0,2.8284271247461903
1606.0,681.0,186.4,2.8284271247461903
217.0,48.0,161.04,2.8284271247461903
767.0,800.0,170.48,2.8284271247461903
1059.0,746.0,164.12,2.8284271247461903
1158.0,902.0,161.16,2.8284271247461903
674.0,1051.0,154.0,2.8284271247461903
523.0,286.0,166.28,2.8284271247461903
1223.0,703.0,155.48,2.8284271247461903
1812.0,117.0,146.44,2.8284271247461903
903.0,1115.0,150.0,2.8284271247461903
368.0,1059.0,164.12,2.8284271247461903
248.0,168.0,155.64,2.8284271247461903
1044.0,677.0,168.2189349112426,7.228202652129152
1670.0,767.0,154.92,2.8284271247461903
700.0,52.0,148.76,2.8284271247461903
1075.0,397.0,148.92,2.8284271247461903
585.0,610.0,224.52,2.8284271247461903
986.0,589.0,183.24,2.8284271247461903
1577.0,668.0,142.92,2.8284271247461903
303.0,487.0,142.44,2.8284271247461903
658.0,262.0,128.50295857988166,7.228202652129152
1638.0,934.0,132.56,2.8284271247461903
1893.0,1138.0,165.88165680473372,7.228202652129152
1912.0,1129.0,158.12,2.8284271247461903
778.0,841.0,226.96,2.8284271247461903
1103.0,118.0,186.02958579881656,7.228202652129152
1778.0,159.0,136.0,2.8284271247461903
1844.0,441.0,137.88,2.8284271247461903
883.0,1145.0,255.0,2.8284271247461903
389.0,835.0,137.88,2.8284271247461903
1546.0,1016.0,125.79881656804734,7.228202652129152
1236.0,1146.0,186.36,2.8284271247461903
478.0,924.0,124.91124260355029,7.228202652129152
1822.0,333.0,128.72,2.8284271247461903
1503.0,443.0,123.28402366863905,7.228202652129152
1267.0,198.0,138.12,2.8284271247461903
991.0,560.0,121.6923076923077,7.228202652129152
963.0,299.0,122.2603550295858,7.228202652129152
526.0,1006.0,126.28994082840237,7.228202652129152
778.0,157.0,119.25443786982248,7.228202652129152
1793.0,158.0,122.56,2.8284271247461903
486.0,245.0,130.08,2.8284271247461903
226.0,1149.0,120.88,2.8284271247461903
1736.0,416.0,124.4,2.8284271247461903
1854.0,52.0,119.92,2.8284271247461903
1151.0,14.0,120.72,2.8284271247461903
1219.0,767.0,116.72189349112426,7.228202652129152
1941.0,170.0,149.4,2.8284271247461903
598.0,596.0,117.6,2.8284271247461903
1431.0,277.0,118.64,2.8284271247461903
1470.0,556.0,116.12,2.8284271247461903
657.0,1034.0,110.24,2.8284271247461903
528.0,1198.0,124.96,2.8284271247461903
1384.0,868.0,109.92,2.8284271247461903
913.0,422.0,240.48,2.8284271247461903
579.0,615.0,132.32,2.8284271247461903
