x,y,b,r
188.0,1006.0,60.24,2.8284271247461903
1503.0,772.0,57.28,2.8284271247461903
1137.0,952.0,57.92,2.8284271247461903
551.0,327.0,57.4,2.8284271247461903
398.0,206.0,56.8,2.8284271247461903
819.0,310.0,57.48,2.8284271247461903
34.0,706.0,62.08,2.8284271247461903
29.0,143.0,59.8,2.8284271247461903
1530.0,494.0,56.2,2.8284271247461903
454.0,231.0,57.04,2.8284271247461903
144.0,1114.0,59.64,2.8284271247461903
1183.0,712.0,56.2,2.8284271247461903
219.0,535.0,55.52,2.8284271247461903
943.0,616.0,54.36,2.8284271247461903
1891.0,280.0,55.04,2.8284271247461903
635.0,1028.0,55.12,2.8284271247461903
241.0,1014.0,55.32,2.8284271247461903
1064.0,514.0,54.2,2.8284271247461903
372.0,1138.0,60.72,2.8284271247461903
643.0,1147.0,55.08,2.8284271247461903
23.0,1120.0,58.6,2.8284271247461903
1233.0,18.0,53.44,2.8284271247461903
1634.0,786.0,54.92,2.8284271247461903
1659.0,806.0,54.4,2.8284271247461903
1094.0,826.0,53.36,2.8284271247461903
935.0,420.0,53.0,2.8284271247461903
1602.0,1223.0,53.24,2.8284271247461903
879.0,256.0,54.32,2.8284271247461903
2081.0,74.0,75.03764115432874,16.02775370689508
593.0,564.0,53.28,2.8284271247461903
1579.0,1031.0,53.76,2.8284271247461903
1309.0,1205.0,53.72,2.8284271247461903
1606.0,364.0,53.88,2.8284271247461903
722.0,633.0,52.48,2.8284271247461903
904.0,679.0,53.08,2.8284271247461903
574.0,85.0,53.6,2.8284271247461903
78.0,150.0,53.64,2.8284271247461903
1947.0,523.0,52.8,2.8284271247461903
441.0,312.0,53.0,2.8284271247461903
33.0,682.0,54.92,2.8284271247461903
698.0,234.0,53.0,2.8284271247461903
1153.0,715.0,51.8,2.8284271247461903
222.0,742.0,53.36,2.8284271247461903
1272.0,1179.0,52.36,2.8284271247461903
1440.0,1198.0,52.32,2.8284271247461903
540.0,627.0,52.32,2.8284271247461903
1649.0,201.0,52.72,2.8284271247461903
1823.0,754.0,50.76,2.8284271247461903
1108.0,526.0,52.28,2.8284271247461903
1262.0,801.0,51.28,2.8284271247461903
535.0,651.0,52.04,2.8284271247461903
1829.0,354.0,51.88,2.8284271247461903
814.0,838.0,50.92,2.8284271247461903
1012.0,1011.0,50.96,2.8284271247461903
59.0,193.0,52.12,2.8284271247461903
