id,x,y,r,b
0,3000.641025641026,164.87179487179486,3,181.25641025641025
1,1907.659090909091,380.1136363636364,3,206.8181818181818
2,1384.590909090909,1015.3181818181819,2,197.22727272727272
3,1325.3695652173913,1044.108695652174,3,196.3913043478261
4,2220.0263157894738,1184.3947368421052,3,197.1315789473684
5,2122.5806451612902,1213.1290322580646,3,193.67741935483872
6,1499.5,1376.590909090909,3,202.20454545454547
7,865.0277777777778,1627.361111111111,3,202.19444444444446
8,2430.212121212121,1656.7272727272727,3,224.21212121212122
9,1403.060606060606,1789.121212121212,3,188.12121212121212
10,1181.78125,1902.65625,3,188.34375
11,1868.2933333333333,2023.76,4,197.92
12,2484.304347826087,2050.782608695652,2,168.08695652173913
13,919.7916666666666,2059.4166666666665,2,133.79166666666666
14,1656.25,2216.4375,5,201.975
15,1009.05,2224.9,2,140.05
16,2224.6111111111113,2274.1666666666665,4,205.19444444444446
17,2138.56,2507.18,3,191.18
18,1421.24,2583.68,2,162.76
19,1399.0869565217392,2603.7391304347825,2,128.43478260869566
20,2309.9238095238097,2778.8952380952383,5,205.2095238095238
21,1527.090909090909,2871.0454545454545,2,150.86363636363637
22,2438.1506024096384,3024.5060240963853,7,172.56024096385542
23,2839.557251908397,3230.8320610687024,6,193.17557251908397
24,320.6179775280899,3279.6067415730336,5,178.19101123595505
25,1910.1764705882354,3362.5588235294117,3,166.8235294117647
26,1232.5238095238096,3421.1428571428573,2,141.61904761904762
27,1302.2424242424242,3540.878787878788,5,188.1919191919192
28,1392.8285714285714,3733.5714285714284,3,163.45714285714286
